id,xP
1,4.5
2,1.0
3,0.0
4,1.0
5,3.7
6,3.0
7,2.5
8,3.4
9,0.0
10,1.7
11,1.9
13,1.0
14,0.0
15,1.0
16,7.2
17,5.0
18,1.8
19,2.0
20,5.2
21,2.8
22,4.3
23,0.0
24,1.2
25,1.0
26,4.2
28,0.0
29,0.0
30,0.5
31,2.2
266,1.5
662,0.0
666,3.2
700,0.0
711,1.0
725,5.7
759,1.0
32,0.7
33,-0.7
34,0.0
35,0.0
36,0.0
37,-0.3
38,0.7
39,0.3
40,-0.2
41,-0.1
42,-1.0
43,0.0
44,-0.7
45,-1.0
46,0.0
47,5.7
48,2.3
49,0.0
50,1.3
51,0.0
53,1.3
54,1.0
55,0.0
56,0.0
57,0.0
58,0.0
59,2.5
60,-1.0
61,0.0
62,-0.8
63,-1.0
64,6.0
65,0.0
389,-0.8
456,-0.3
677,0.0
688,-1.0
701,0.0
702,-1.0
703,-1.0
710,-1.0
719,0.5
754,-0.8
757,-1.0
768,-1.0
183,0.0
184,0.0
185,0.0
186,0.0
187,1.7
188,0.0
189,0.0
190,3.7
191,1.0
192,1.0
193,1.7
194,0.0
195,1.0
196,0.0
197,1.3
198,0.0
199,0.4
200,1.0
201,0.0
202,2.0
203,0.0
204,0.0
205,1.1
206,2.0
207,0.0
208,0.0
209,3.2
210,0.7
211,0.0
212,0.0
213,0.0
214,0.7
215,1.5
216,0.0
217,0.0
218,0.2
219,0.0
470,3.5
676,3.5
680,3.5
722,1.7
776,1.2
66,0.0
67,2.0
68,0.0
69,0.0
70,0.0
71,0.0
72,3.6
73,1.8
74,3.0
75,0.0
76,0.0
77,1.0
78,0.0
79,0.0
80,0.2
81,3.4
82,6.6
84,4.6
85,0.0
86,3.0
87,0.2
88,1.6
89,0.0
90,2.2
91,0.0
92,0.0
93,0.0
94,0.0
95,0.0
96,0.0
97,2.6
98,0.6
99,0.0
100,1.4
391,0.0
685,1.6
687,0.0
697,0.8
713,3.4
721,0.0
756,0.0
27,0.3
83,0.0
101,5.0
102,0.0
103,0.0
104,0.0
105,0.0
106,4.8
107,6.2
108,2.3
109,3.3
110,3.3
111,0.7
112,0.0
113,1.7
114,0.0
115,0.0
116,1.3
117,0.0
118,0.0
120,4.7
121,2.0
122,0.0
123,0.0
124,2.8
125,4.0
126,1.8
127,0.0
128,0.0
129,3.0
130,0.0
131,0.0
132,0.0
133,0.0
134,0.0
136,2.3
137,0.0
748,0.0
138,0.0
139,3.0
140,0.0
141,0.0
142,0.0
143,1.5
144,1.2
145,2.5
146,0.5
147,0.0
148,2.3
150,0.0
151,3.5
152,2.0
153,0.0
154,0.0
155,0.0
156,0.0
157,0.5
158,2.3
159,0.0
160,2.5
161,0.0
162,1.5
163,2.8
164,0.0
165,0.0
166,2.2
167,0.0
169,2.5
170,0.5
171,0.0
172,0.3
173,2.3
174,0.0
175,0.0
176,0.0
177,0.0
178,1.3
179,0.0
180,0.0
181,0.8
744,0.0
761,0.0
168,0.0
220,4.3
221,0.0
222,0.0
223,0.0
224,2.0
225,4.3
226,4.2
227,0.0
228,4.5
229,0.2
230,3.7
231,0.0
232,0.5
233,0.0
234,0.0
235,3.7
236,3.2
237,3.2
238,1.3
239,1.3
240,0.0
241,1.2
243,0.0
244,0.0
245,0.0
246,0.7
247,0.0
248,0.0
249,3.3
250,0.8
251,0.0
252,0.2
453,2.3
672,0.0
743,0.0
253,2.8
254,0.0
255,0.0
256,0.0
257,2.8
258,2.5
259,0.3
260,4.7
261,1.4
262,0.0
263,2.0
264,0.0
265,0.0
267,0.0
268,0.0
269,0.3
270,0.8
271,0.0
272,1.7
273,3.8
274,0.0
275,0.0
276,2.0
277,0.0
278,0.0
279,0.0
280,0.0
281,0.0
282,0.0
283,3.2
284,2.3
285,0.0
286,0.0
690,0.0
712,3.0
723,0.5
732,1.3
762,0.3
773,0.0
780,1.2
242,0.8
287,5.2
288,0.0
289,0.0
290,0.0
291,6.0
292,4.2
293,5.0
294,0.0
295,4.8
296,1.8
297,0.0
298,0.0
299,0.0
300,2.8
301,2.0
302,0.0
303,6.4
304,2.8
305,0.0
306,0.0
307,0.0
308,0.0
309,0.0
310,3.2
311,1.2
312,0.0
313,0.0
419,1.2
630,0.0
667,0.0
704,0.0
705,0.0
707,2.0
728,1.4
779,1.2
314,4.0
315,0.0
316,4.6
317,3.6
318,0.0
319,0.6
320,0.4
321,3.4
322,4.2
323,0.0
324,0.0
325,3.4
326,0.8
327,0.0
328,0.0
329,6.6
330,2.2
331,1.8
332,3.2
333,0.0
334,0.0
335,0.6
336,0.2
337,4.6
338,0.0
664,0.0
727,0.0
731,2.4
737,0.2
770,0.0
339,-0.5
340,-0.5
341,-0.5
342,2.2
343,2.8
344,4.3
345,0.8
346,-0.5
347,2.5
348,0.0
349,0.0
350,2.7
351,1.2
352,-0.3
353,0.0
354,4.2
355,0.0
356,1.2
357,0.0
358,2.8
359,0.0
360,0.0
361,0.0
362,0.0
363,0.0
364,0.0
365,0.3
493,0.0
660,5.7
665,2.7
691,7.2
698,1.8
706,1.0
741,-0.5
366,4.3
367,0.5
368,0.5
369,0.5
370,3.0
371,2.8
372,2.2
373,4.2
374,4.5
375,2.7
376,0.5
377,0.0
378,0.5
379,0.5
380,0.5
381,0.0
382,6.5
383,0.0
384,1.3
385,1.5
386,2.2
387,3.3
388,3.2
390,6.0
392,0.2
393,0.0
394,0.0
395,0.0
396,0.8
397,0.0
398,0.0
499,0.0
661,7.7
686,0.7
692,0.0
746,0.5
760,0.5
182,0.5
399,0.0
400,0.5
401,0.5
402,0.0
403,7.5
404,0.0
405,2.5
406,0.7
407,8.5
408,7.9
409,0.1
410,1.1
411,4.5
412,0.0
413,0.0
414,6.7
415,2.1
416,3.3
417,8.5
418,0.3
420,0.0
421,0.7
422,0.0
423,3.5
424,0.1
425,0.0
427,4.7
428,0.0
429,0.5
430,7.5
736,6.3
739,0.7
740,0.5
742,0.5
763,0.5
764,0.5
119,0.0
431,0.0
432,0.0
433,0.0
434,0.0
435,0.0
436,0.0
437,2.7
438,0.0
439,0.0
440,6.2
441,4.5
442,0.0
443,2.2
444,1.0
445,0.0
