assists,bonus,bps,clean_sheets,clearances_blocks_interceptions,creativity,defensive_contribution,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,modified,opponent_team,own_goals,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,starts,tackles,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
0,0,13,1,2,3.0,8,591,0.05,0.05,0.00,0.89,6,0,0,0.9,3.6,2025-08-16T14:00:00Z,70,False,3,0,0,0,5,0,1,0,13480,1,1,0,3,2.0,3,0,0,0,50,True,0
0,0,0,0,0,0.0,0,591,0.00,0.00,0.00,0.00,18,0,0,0.0,0.0,2025-08-23T11:30:00Z,0,False,13,0,0,0,0,0,2,0,15870,0,0,2,0,0.0,0,-1100,999,2099,50,False,0
0,0,0,0,0,0.0,0,591,0.00,0.00,0.00,0.00,29,0,0,0.0,0.0,2025-08-30T14:00:00Z,0,False,4,0,0,0,0,0,3,0,14762,0,0,1,0,0.0,0,-2111,524,2635,50,True,0
0,0,0,0,0,0.0,0,591,0.00,0.00,0.00,0.00,40,0,0,0.0,0.0,2025-09-13T16:30:00Z,0,False,19,0,0,0,0,0,4,0,14668,0,0,3,0,0.0,0,-1113,914,2027,49,False,0
0,0,4,0,0,10.2,0,591,0.00,0.00,0.00,0.00,43,0,0,1.3,2.4,2025-09-20T14:00:00Z,1,False,6,0,0,0,0,0,5,0,14197,0,0,2,2,0.0,1,-908,569,1477,49,False,0
0,0,0,0,0,0.0,0,591,0.00,0.00,0.00,0.00,60,0,0,0.0,0.0,2025-09-27T19:00:00Z,0,False,20,0,0,0,0,0,6,0,14018,0,0,1,1,0.0,0,-575,580,1155,49,True,0
0,0,0,0,0,0.0,0,591,0.00,0.00,0.00,0.00,67,0,0,0.0,0.0,2025-10-04T11:30:00Z,0,False,11,0,0,0,0,0,7,0,13802,0,0,2,1,0.0,0,-491,397,888,49,False,0
0,0,0,0,0,0.0,0,591,0.00,0.00,0.00,0.00,79,0,0,0.0,0.0,2025-10-19T13:00:00Z,0,False,2,0,0,0,0,0,8,0,13714,0,0,2,1,0.0,0,-467,629,1096,48,True,0
0,0,0,0,0,0.0,0,591,0.00,0.00,0.00,0.00,86,0,0,0.0,0.0,2025-10-26T16:30:00Z,0,False,9,0,0,0,0,0,9,0,13690,0,0,3,0,0.0,0,-201,404,605,48,False,0
0,0,0,0,0,0.0,0,591,0.00,0.00,0.00,0.00,99,0,0,0.0,0.0,2025-11-01T17:30:00Z,0,False,7,0,0,0,0,0,10,0,13105,0,0,1,0,0.0,0,-687,176,863,48,True,0
0,0,0,0,0,0.0,0,591,0.00,0.00,0.00,0.00,109,0,0,0.0,0.0,2025-11-08T12:30:00Z,0,False,14,0,0,0,0,0,11,0,12129,0,0,2,2,0.0,0,-998,21,1019,48,True,0
0,0,0,0,0,0.0,0,591,0.00,0.00,0.00,0.00,111,0,0,0.0,0.0,2025-11-23T16:30:00Z,0,False,1,0,0,0,0,0,12,0,11516,0,0,1,4,0.0,0,-630,15,645,48,False,0
0,0,8,0,3,2.1,8,591,0.01,0.03,0.02,0.32,129,2,0,0.8,3.0,2025-11-29T20:00:00Z,59,False,10,0,0,0,5,0,13,0,11469,1,0,2,1,3.0,1,-127,91,218,48,True,0
0,0,2,0,0,0.7,0,591,0.00,0.00,0.00,0.00,139,0,0,0.0,0.0,2025-12-02T20:15:00Z,3,False,15,0,0,0,0,0,14,0,11484,0,0,2,2,0.0,1,-19,113,132,48,False,0
0,0,10,1,5,2.8,9,591,0.01,0.01,0.00,0.29,149,0,0,1.6,10.8,2025-12-06T15:00:00Z,90,False,5,0,0,0,2,0,15,0,11573,1,2,0,2,2.0,2,21,177,156,48,True,1
